comment_id,author,date,text,expected_label,model_pred,vectors
z12tvfbi0sntvhgzw04cgf35lymwivhqepo0k,blondedbythelight703,2014-09-09T20:36:30,she s an old whore ,0,-1,"-1,-1,-1,-1,-1"
z12lznkqhkyysbznf222ft35zmy1shkb504,youngj,2014-10-29T11:28:58,people who believe in illuminati are stupid the same people believe that      was made by the american government,0,-1,"-1,-1,-1,-1,-1"
z12hc5yiuwr2sxml3230sxo4tofwftg1b,TheFegi12,2015-05-19T22:30:57.239000,not bad,0,-1,"-1,-1,-1,-1,-1"
z120e5uiiuu4jlaen22dundglo2dypric04,Naga Berapi,2014-07-22T19:53:49.636000,the best song ever ,0,0,"0,-1,-1,-1,-1"
z12gcfvpsr3au3vg104cdpw5rvbivre5aeg,Jorge Salazar,2015-05-19T18:13:35.054000,like eminen,0,-1,"-1,-1,-1,-1,-1"
z12jxvuzgxusjl1jw04ccxshdwyfx1pjzfk,lakis constantinou,2014-11-05T18:02:31,psy got lots  of money from youtube that he got from   billion views this  is the most views in the world  d,0,-1,"-1,-1,-1,-1,-1"
_2viQ_Qnc6-UzHByAP8y3BxG633jelEC_fxtFRUvLSA,Zuzanna Sztandera,2013-07-17T20:41:00.612000,love this song   ,0,0,"0,-1,0,-1,-1"
z13zfhkhfzrpjhgku22ewbtj4quri3izo04,Amaral Shady 013,2015-05-07T22:43:51.220000,hello brazil ,0,-1,"-1,-1,-1,-1,-1"
z13mxl3zavzfc55as04ccf4ifo2textrofs,Honesty Wright,2015-05-20T19:58:06.997000,hay my is honesty wright i am   year old  i love your song thank you for makeing this song i love this song so much sometime harts can get breaken  people kill  they self or go cazzy i  love you so much thanks keep on go  make  sure you doing your   dream is comeing rule  good luck,0,0,"0,-1,0,-1,-1"
z12pi3wbqljkwjher23stftwykbzid1fv,Hany Faisal,2014-09-22T10:08:17,my son love so much,0,0,"-1,-1,0,-1,-1"
z13sh3cz1kbqgrai504cf53qsq25ypmi5zs0k,Leonel Hernandez,2014-11-14T12:35:38, something to dance to  even if your sad just dance     psy   gangnam style    m v  http   youtu be  bzkp q  f ,0,-1,"-1,-1,-1,-1,-1"
z13wz3sxqzv5u1axg04cepvrosylertw5xo0k,Nick Hardison,2015-05-20T21:46:43.674000,this song is fu cking awesom       ,0,0,"0,-1,-1,-1,-1"
z13lwjvwbrqgdrdut22qhf54gvqwuz1nv,Thalia Grace,2014-09-14T15:55:13,this comment will randomly get lot s of likes and replies for no reason  i  also like jello  strawberry jello ,0,-1,"-1,-1,-1,-1,-1"
z124zbcigmbfvhpru04cepdx2vikibhp42c,Yabbamita DBH,2014-11-12T09:30:20,if the shitty chinese government didn t block youtube over there  there d  be close to   billion views right now  ,0,-1,"-1,-1,-1,-1,-1"
z13iijhzqwz4gxek122ugd3bllbks1011,Alef Paulo,2014-09-22T14:33:15,y love you,0,0,"-1,-1,0,-1,-1"
z12yj3cwwqf4vlb2d23au5zhhvjpjth2o,The Technology Zoo,2014-09-25T02:20:26,in the beginning she was scared off everything and next thing you know she  is out in a leopard bikini ,0,-1,"-1,-1,-1,-1,-1"
z12duvqj2ozihjxzr04cffmhekeyzbkql20,Arrestme11,2014-11-08T06:50:39,how stupid humanity is,0,-1,"-1,-1,-1,-1,-1"
z12zgfgp1rzzct4ft23jxrwozxabfnjjv04,This Is Really Not Lois Arceo,2014-11-10T13:25:27,new goal                let s go for it ,0,-1,"-1,-1,-1,-1,-1"
z120zd0iryyxgfsnh22zxxqq1q3pjf5et,ShockMinerX,2015-05-26T02:03:46.816000,remeber the good ol      days when songs weren     t about butts   ,0,0,"0,-1,-1,-1,-1"
z13qe1myote4hhwox04chrdxbv30dhraerc0k,hunter braddock,2014-11-08T06:36:41,for all of the little kidz out there there is like   to   billon people on  earth not   to   millon get you facts straight before posting comments ,0,-1,"-1,-1,-1,-1,-1"
z12ahr2ittmsjrtpd04ccrqiklvvu3uqiew,Giovanni Satta,2015-05-20T09:10:44.658000,beautiful song ,0,0,"0,-1,-1,-1,-1"
z13lvdcijuj5znbge04cc1iawv3eezsbbjo,Рустем Ахметов,2015-05-23T10:13:32.711000,great   ,0,-1,"-1,-1,-1,-1,-1"
z13rzhjaxxr3z1t4504ccvlp1uqnddvqoyg0k,Kate Love,2015-05-23T01:14:31.812000,best song,0,0,"0,-1,-1,-1,-1"
LneaDw26bFuisc-qZu0BerSXLLjgKlxUD59lcMA8W_E,Stricker Stric,,eminem new song check out my videos,1,0,"0,1,-1,-1,-1"
z12zgrw5furdsn0sc233hfwavnznyhicq,kyeman13,,go check out my rapping video called four wheels please ,1,1,"-1,1,-1,-1,-1"
z13fib54ilj0ix3ln23cy5h41xi0hduex,The O'dowd Crowd,2014-11-08T06:53:38,come and watch my video it is called the odowd crowd zombie movie part   ,1,-1,"-1,-1,-1,-1,-1"
_2viQ_Qnc6_1RPym_S70n6Rv617-TI9Z8GVhGlwXs_I,AllDailyVines,2013-10-28T00:00:12.526000, d subscribe to me for daily vines,1,-1,"-1,-1,-1,-1,-1"
z13dhbaigtyijdrwx04cizho1lfidrircjc,Nguyen Thanh Son,2015-05-15T12:57:45.957000,check out this video on youtube ,1,1,"-1,1,-1,-1,-1"
LneaDw26bFsD65dtIvAEObWYIYnFTqQDKBek_Ypz3J8,SmexyFriedChicken,,check out my videos guy     hope you guys had a good laugh  d,1,1,"-1,1,-1,-1,-1"
z12idnt4plzphv3jx04cd5jxoqjkzfxxsf0,THE AMAZING MOVIE MAKING NAD GAMING TOM BURKE,2015-04-11T20:32:48.515000,lol check out my chanell and subscribe please i want      subs thats it im nearly their now,1,1,"-1,1,-1,-1,-1"
z12rvtogemvtv3xnq23zc3erxsfui52ht04,jessie J,2015-01-08T16:16:52.163000,check out this video on youtube qq,1,1,"-1,1,-1,-1,-1"
z13xwb3adyricdunf223txebnov1f1aiz04,Gram Bangla,2014-09-12T09:03:16,wow very nice congrasulation i live so much http   en prothom alo com sport news       zimbabwe a team due in dhaka wednesday ,1,-1,"-1,-1,-1,-1,-1"
z13aud2q2nvduhzm522ohj5hxqudizs4p04,Patrik Gybka,2015-05-05T09:32:04.687000,subscribe my channel please lol pro plays ,1,-1,"-1,-1,-1,-1,-1"
z133vdcgmrijgrhld22zst0i2nfnvdvxa04,How To,2015-04-25T06:38:00.463000,pleassssssssssssssss subscribeeeeeeeeee my channnnnnelll plzz,1,-1,"-1,-1,-1,-1,-1"
LneaDw26bFs2eQd05L_J9wVmiBlCClqLnM0JUQsB-3Q,YungDreams,,maybe no one will probably read this  but just in case you do can you put a  quot thumbs up  quot so others can see  i just started rapping seriously  type in lunden       video  just a simple button  can help my dreams come true  people will ignore this but if you don     t can you listen and subscribe thank you all god bless ,1,-1,"-1,-1,-1,-1,-1"
_2viQ_Qnc6_kxEjV8Ut57SeEGdqSKmC8VGP1K38Q2qY,Scott Johnson,2013-10-18T19:45:43,you guys should check out this extraordinary website called zonepa com     you can make money online and start working from home today as i am    i am making over         per month at zonepa com     visit zonepa com and check it out   why does the statement conciliate the acidic stretch  the earth recognizes the money  when does the numberless number transport the trade ,1,1,"-1,1,-1,-1,-1"
z12isnmj3wuovj4tt22stv0x1kblzls1w,Sandy Torres,2015-01-30T16:48:13.985000,check out this playlist on youtube ,1,1,"-1,1,-1,-1,-1"
z13ydfww3ruysvtmv23muhspwqqjszwjc04,James Ridge,2014-11-02T23:25:44,check my first video out,1,1,"-1,1,-1,-1,-1"
LZQPQhLyRh9EXArr4ZnVcDonSbvSMHKYOT24e_qR6fE,||GuitarZ||,2013-12-23T12:54:38,check out my channel,1,1,"-1,1,-1,-1,-1"
LneaDw26bFvwhMGEs3mKR9qcJjIwC7L04F9DEGkLQfY,Drake Gagne,,i know you may not want to read this but please do  i     m    cypher an    year old rapper i have skill people said  my stuff isn     t as good as my new stuff but its good please check out my current songs comment and like thank you for reading rap is my life,1,0,"0,1,-1,-1,-1"
z123svxivleiez5vt23mdzk55siwe5on0,Marnell Ampungan,2014-11-09T13:43:04,check out this video on youtube facebook lhudygirlamaya ,1,1,"-1,1,-1,-1,-1"
z12kj5iz2obvunpm222oynsjrnmvjhkvj,LuckyMusiqLive,2014-10-30T17:58:18,this song gives me strength  love her lyrics  this video really brings the  lyrics to life  i m getting known fast because i rap with meaning   thumbs  up if you piss next to the water in the toilet so its quiet   ,1,0,"0,-1,0,-1,-1"
_2viQ_Qnc6-r7fiKCYAGotgCULCIx695QCHaAZDKHBM,Tiffanythebest,2013-09-02T19:42:46.640000,please check out this video called  quot we love mind master it quot   thank u   ,1,0,"-1,1,0,-1,-1"
z13ss53p4unscfngi04cjdhornvlz51zfak,allen webb,2015-02-28T21:01:42.150000,check out this playlist on youtube ,1,1,"-1,1,-1,-1,-1"
LZQPQhLyRh9-wNRtlZDM90f1k0BrdVdJyN_YsaSwfxc,Jason Haddad,2013-11-26T02:55:11,hey  check out my new website   this site is about kids stuff  kidsmediausa    com,1,1,"-1,1,-1,-1,-1"
LneaDw26bFv9-vkMJy7kInsCbJzQ8qlJ8oUz9N7WfFQ,DanteBTV,,check out the new hot video by dante b called riled up,1,1,"-1,1,-1,-1,-1"
z12fgphykwn0vb2du23ftzmjulq0z1olv,алексей алгаев,2015-02-01T15:51:59.518000,hello from russia comes to the channel subscribe,1,-1,"-1,-1,-1,-1,-1"
_2viQ_Qnc6-8fXmwJsxpt64D862oCsb0cCfnoF_7Pwg,david rodriguez,2013-09-04T04:08:26.821000,do you want to make some easy money  check out my page tvcmcadavid weebly   com dont miss out on this opportunity give thumbs up i would  apprecitate it ,1,1,"-1,1,-1,-1,-1"
z13ect4j2km1gnhhu04cdfmwnmbkvn45x20,Cléda Dimitri,2014-08-16T07:24:50,http   www rtbf be tv emission detail the voice belgique toutes les auditions auditiondetail  emissionid      amp id      please join me to the voice liked and shared it please to win more audition  score  thanks so much,1,-1,"-1,-1,-1,-1,-1"
LZQPQhLyRh_C2cTtd9MvFRJedxydaVW-2sNg5Diuo4A,adam riyati,2013-11-07T12:37:15,hey guys check out my new channel and our first vid this is us the  monkeys    i m the monkey in the white shirt please leave a like comment  and please subscribe    ,1,1,"-1,1,-1,-1,-1"
z13oc5zxxx2tynzdd23mtn1x2ujzct3kf,Peter Sadek,2015-03-09T18:44:22.184000,check out this playlist on youtube ,1,1,"-1,1,-1,-1,-1"
LneaDw26bFvhyHSmfm28L9EGvDJ-bou6Ze3cVbgCtgU,marion guy,,okay trust me i     m doing a favor  you need to check out this guy named columbus nelson on youtube ,1,1,"-1,1,-1,-1,-1"
z122xxgxipvdzpovt22xjlyi5o3pebufp,Emilie,2014-08-09T20:12:26,hey guys  my mom said if i got     subs before christmas i ll get a kitten  and i always have wanted an kitten so please watch my videos and if you  like it subscribe or like    please no mean comments,1,-1,"-1,-1,-1,-1,-1"
_2viQ_Qnc686iGqhAHKEeclAngy8MjvOxAo1hFpatHc,Krystian Konrad Moreński,2013-09-06T09:38:13.854000,part    comforter of the afflicted  pray for us help of christians  pray for us queen of angels  pray for us queen of patriarchs  pray for us queen of prophets  pray for us queen of apostles  pray for us queen of martyrs  pray for us queen of confessors  pray for us queen of virgins  pray for us queen of all saints  pray for us queen conceived without original sin  pray for us queen of the most holy rosary  pray for us queen of the family  pray for us queen of peace  pray for us ,1,-1,"-1,-1,-1,-1,-1"
LneaDw26bFvv8RbyHRBDnA-4Bb1lhF9UlpzJf_5FkWM,이 정훈,,this great warning will happen soon     lneadw  bfst  vhkjl pxaey vmnlvmriudtsfk vy ali paa           t                croatia  lt     lneadw  bfvkahxpkenm  fywkyxthsupri juqsznu g belrus           t                nice one   lneadw  bftvzqt juehasiefrjg exi dvqdnqvpho exode  comeback            t                   m views    lneadw  bfunoarag  awgu tjo azdkfiun tz  hy muhammad shaeel abbas           t                fuck off    lneadw  bft otoufj z vfflfnaxykwzsivqhimx e notorious niko           t                 hey guys im a   yr old rapper trying to get exposure    i live in belgium where no one speaks english so i have to resort to this gay spam     check out my   latest tracks as they are probably my best   audio isnt the best but im gonna invest in some real equipment for my next track    please thumbs this up so others can see   or hey dont just check me out yourself and leave a response and a like  d  thanks in advance  you guys will be part of making my dream come true    notorious niko ,1,1,"-1,1,-1,-1,-1"
z12gf3oyjry1wjdsq22rtlhgcp2tsfxb204,AryaDewa Gaming,2015-04-10T17:33:31.099000,subscribe me  if you do that leave your name so i can subs back ,1,-1,"-1,-1,-1,-1,-1"
z12ojfkgxxrxurgvz23vxxjg2rabwlikn,Mason Pearce,2015-05-18T07:12:10.556000,like if ur watchin in                                                                                                                                                                                                                                                                                                                                                                    ,1,-1,"-1,-1,-1,-1,-1"
_2viQ_Qnc68wE6_oU558uTupID2DHHu6smRW0Yr5mVs,Anthony Lam,2013-07-29T08:59:24.455000,hey  i am doing the forty hour famine so i     ll be giving up on food and social working for    hours  i     m doing this to raise money for african people who can     t experience the luxuries that we can  so can you donate to give them a chance   any amount would do     click on the link and donate h t t p           h f   c o m   a u   a n t h o n y l a m thanks   ,1,-1,"-1,-1,-1,-1,-1"
z12lipxpunj5d1okw22bip4gvnbswlzhx04,‫غاردينا خالد‬‎,2015-01-12T06:06:06.398000,check out this video on youtube ,1,1,"-1,1,-1,-1,-1"
z13rjxk5ylidyrerg04cgvfoknjlybzs4,ZeDesXiA AIliVe,2014-09-19T17:47:37.826000, like this comment ,1,-1,"-1,-1,-1,-1,-1"
z13vsfqirtavjvu0t22ezrgzyorwxhpf3,Ajkal Khan,,my sister just received over       new  a rel  nofollow  class  ot hashtag  href  https   plus google com s    active   active  a  youtube views right now  the only thing she used was pimpmyviews  com,1,-1,"-1,-1,-1,-1,-1"
z13osluqrpefv1hd323idhejzxanc3ai004,Tyrek Sings,2014-11-05T22:50:02,check my channel out please  i do singing covers,1,1,"-1,1,-1,-1,-1"
_2viQ_Qnc69GH3FQl348HonbRxpbmtsR5CUei0zkJog,Riley Rollins,2013-07-16T00:30:46.660000,o peoples of the earth  i have seen how you perform every form of evil at your leisure  you cease not from reveling in that which i hate  behold  you murder the innocent day and night and plot evil against your neighbor  you stand up for the rights of those who commit abomination and clap your hands as wickedness is celebrated openly in the streets     o most perverse and abominable generation  shall i not repay    hear the word of the lord   trumpetcallofgodonline   co m,1,-1,"-1,-1,-1,-1,-1"
z13qgviizlv1d1c1422lylyahqz2h1zm5,Connor Groom,2014-11-04T18:00:07,sub me if you dont like the song,1,0,"0,-1,-1,-1,-1"
z12exzcrvpeew1yxg04cd5tbwnmfubnh4kk0k,Anthony1SV,2014-11-14T00:01:37,please do buy these new christmas shirts  you can buy at any time before  december  th and they are sold worldwide  don t miss out   http   teespring com treechristmas,1,-1,"-1,-1,-1,-1,-1"
LneaDw26bFvaBIGMY4DfxNzifyIUm7GOWp8Br9oySEk,DanteBTV,,check out the new hot video by dante b called riled up,1,1,"-1,1,-1,-1,-1"
LneaDw26bFtmqnbwore5s5LHQD3cpRwhBYdsz4yXRkM,INCRIVELawesome,,check out leandrus   playtime it     s awesoooome   ,1,1,"-1,1,-1,-1,-1"
z13wz10yyn3wz3fu523zzzeackarhvpu4,bebishyne alicdan,2014-10-04T13:16:55.971000,check out this video on youtube ,1,1,"-1,1,-1,-1,-1"
z13wyfhopsvthjlio04cfxkawnbou1ogbdw,monique graham,2015-01-20T19:21:30.191000,check out this playlist on youtube a,1,1,"-1,1,-1,-1,-1"
z13isvpjcwadtnxfa23sdd0ipp20wzxdd,rtfamily,2015-05-23T16:45:03.492000,definitley the song for      when im not listening to gypsy shakira rocks br    span class  proflinkwrapper   span class  proflinkprefix     span  a class  proflink  href  https   plus google com                        oid                         shakiravevo  a   span ,1,0,"0,-1,-1,1,-1"
z12twdioonizgpvdv22zwv1i1njct3hhc04,July Baby,2015-04-28T10:24:07.401000,check out this video on youtube ,1,1,"-1,1,-1,-1,-1"
z13kxv452pm1cjgx104civvjyknfvd1jh5w,Monica Parker,2015-04-14T01:39:41.391000,check out this video on youtube ,1,1,"-1,1,-1,-1,-1"
z12jxb3rkze0jljrq04cib0xbxbrt3mae1k,Fredrik Jonsson,2014-10-19T16:07:16,thank you katyperryvevo for your instagram likes  axeljonssons,1,-1,"-1,-1,-1,-1,-1"
z13ahnbavmbgi50bv04cenuj1yyifhxq3hw,LuckyMusiqLive,2014-10-09T23:22:50,this song is so addicting  the hook is dope and catchy  love the video too   i m getting popular fast because i rap real   thumbs up if you piss next to  the water in the toilet so its quiet                                ,1,0,"0,-1,0,-1,-1"
z135jnejqyylxvxc323tifugxr3idl1oq04,Monwar Sarkar,2014-11-04T00:18:07,please help me go here http   www gofundme com littlebrother,1,-1,"-1,-1,-1,-1,-1"
z13fd5trkvvmublwk04cidcahpuhud1xghk,Vitaly Denisovs,2015-02-15T21:19:55.060000,need money   check my channel and subscribe soon will post how to get it  ,1,1,"-1,1,-1,-1,-1"
z12eh5pohzi0fzmab04cdt3qclauvh0j2yg0k,Ognjen Videos,2015-04-08T21:11:31.085000,please subscribe to my channel thanks ,1,-1,"-1,-1,-1,-1,-1"
z12qvnw51y31ulrx304cjbkq1yzqzdkiytg0k,jessica durham,2014-09-09T06:10:07,please help me give my son a grave   http   www gofundme com bishopsgravemarker or please just share it on your  fb page  i do not have one anymore ,1,-1,"-1,-1,-1,-1,-1"
_2viQ_Qnc6-awsV_zO5HWBhiYFzj5-4qgeeFv1iJwRU,Ferdi David,2013-10-25T11:26:10.848000,we are    year old boys we are trying to enter in the music industry maybe we are just a dreamers but we are not the  only one  please give us one chance to prove ourself to you  we know these things are annoying as hell we are sorry  about that  but we do anything to get music heard  please visit our channel subscribe if you like and thumb this comment up so everyone can see we have made a song called  i wanna play a game please take a look on our channel thankss   ,1,0,"0,-1,-1,-1,-1"
z13bcdoyolulstiif04cef2bvmepy1i54k40k,Khris Parkhill,2014-11-02T02:37:16,the perry you re doing a good job good job i love all of their videos and  by the way can you please describe to my channel please please please  please i m trying to get as many comments to skyburst lights is a cancer  and get famous please,1,0,"-1,-1,0,-1,-1"
_2viQ_Qnc6_QZJzAERyAVzhcr3jy2ctVM4zQMfesQWQ,The NeedleWork,2013-10-12T09:32:49.512000,check out my channel   ,1,1,"-1,1,-1,-1,-1"
z122vlk54r21gd3mr224yvqbouiejbqen,Pablo Cantellano,2015-02-20T16:23:25.378000,check out this video on youtube ,1,1,"-1,1,-1,-1,-1"
z12usroi1ovwtzud022kttmyetj2vng2n,Jacky Chan,2014-11-08T14:17:38,for latest movies      please visit this site  http   www networkedblogs com p   cpwb ref panorama,1,-1,"-1,-1,-1,-1,-1"
z123ynxxyou1wrzri04cjh2buyfez5jjxcw,Brandon Tomlin,2014-10-17T18:34:08,like my page please     https   m facebook com dreaddis ref m notifif t fbpage fan invite amp actorid             ,1,-1,"-1,-1,-1,-1,-1"
z12xevzwtyyftlhma22qdp4ocljizpouh,Beatriz A York,2014-12-25T19:20:32.982000,check out this playlist on youtube ,1,1,"-1,1,-1,-1,-1"
z12lj5vp4umotnlo004cg5fhpz2svlkaeyg0k,mariela guzman,2015-05-02T03:56:24.560000,check out this video on youtube ,1,1,"-1,1,-1,-1,-1"
z12sitjpgyy3f5j2322iy1figqa4vnyja04,OverSpace33,2014-11-06T19:40:59,for christmas song visit my channel    ,1,0,"0,-1,-1,-1,-1"
